,freq
0,300.0292997363024
1,335.032718038871
2,271.0264674284598
3,237.02314679167887
4,312.03047172575447
5,280.0273464205489
6,298.02910440472704
7,258.02519777322004
8,299.0292020705147
9,280.0273464205489
10,237.02314679167887
11,260.0253931047954
12,264.0257837679461
13,266.0259790995214
14,267.0260767653091
15,289.02822541263794
16,270.0263697626721
17,268.02617443109676
18,270.0263697626721
19,302.0294950678777
20,191.01865416544584
21,277.02705342318586
22,300.0292997363024
23,204.01992382068562
24,305.0297880652407
25,288.02812774685026
26,268.02617443109676
27,268.02617443109676
28,314.0306670573298
29,335.032718038871
30,289.02822541263794
31,325.0317413809942
32,335.032718038871
33,268.02617443109676
34,243.0237327864049
35,311.0303740599668
36,334.0326203730833
37,237.02314679167887
38,309.03017872839143
39,382.0373083308917
40,270.0263697626721
41,335.032718038871
42,262.02558843637075
43,282.02754175212425
44,301.02939740209007
45,309.03017872839143
46,268.02617443109676
47,165.0161148549663
48,269.02627209688444
49,268.02617443109676
50,287.0280300810626
51,307.0299833968161
52,307.0299833968161
53,335.032718038871
54,321.0313507178435
55,369.0360386756519
56,326.0318390467819
57,297.02900673893936
58,260.0253931047954
59,298.02910440472704
60,285.0278347494872
61,292.02851841000097
62,275.0268580916105
63,262.02558843637075
64,267.0260767653091
65,210.02050981541166
66,260.0253931047954
67,267.0260767653091
68,367.03584334407657
69,264.0257837679461
70,225.02197480222677
71,369.0360386756519
72,268.02617443109676
73,283.0276394179119
74,267.0260767653091
75,249.02431878113097
76,301.02939740209007
77,320.03125305205583
78,283.0276394179119
79,346.0337923625354
80,268.02617443109676
81,244.02383045219258
82,283.0276394179119
83,269.02627209688444
84,296.0289090731517
85,286.0279324152749
86,303.02959273366537
87,296.0289090731517
88,237.02314679167887
89,262.02558843637075
90,296.0289090731517
91,335.032718038871
92,289.02822541263794
93,268.02617443109676
94,255.024904775857
95,312.03047172575447
96,329.03213204414493
97,282.02754175212425
98,268.02617443109676
99,285.0278347494872
100,335.032718038871
101,301.02939740209007
102,344.03359703096004
103,285.0278347494872
104,293.02861607578865
105,237.02314679167887
106,291.0284207442133
107,278.02715108897354
108,307.0299833968161
109,237.02314679167887
110,332.03242504150796
111,268.02617443109676
112,335.032718038871
113,309.03017872839143
114,307.0299833968161
115,295.028811407364
116,289.02822541263794
117,296.0289090731517
118,271.0264674284598
119,287.0280300810626
120,269.02627209688444
121,337.03291337044635
122,249.02431878113097
123,327.0319367125696
124,300.0292997363024
125,234.02285379431584
126,296.0289090731517
127,291.0284207442133
128,168.01640785232934
129,230.02246313116515
130,268.02617443109676
131,296.0289090731517
132,296.0289090731517
133,268.02617443109676
134,267.0260767653091
135,313.03056939154214
136,292.02851841000097
137,296.0289090731517
138,300.0292997363024
139,292.02851841000097
140,291.0284207442133
141,326.0318390467819
142,279.0272487547612
143,296.0289090731517
144,262.02558843637075
145,269.02627209688444
146,337.03291337044635
147,267.0260767653091
148,238.02324445746655
149,267.0260767653091
150,225.02197480222677
151,317.03096005469286
152,258.02519777322004
153,298.02910440472704
154,237.02314679167887
155,287.0280300810626
156,291.0284207442133
157,268.02617443109676
158,355.0346713546245
159,309.03017872839143
160,312.03047172575447
161,267.0260767653091
162,267.0260767653091
163,282.02754175212425
164,284.02773708369955
165,291.0284207442133
166,285.0278347494872
167,309.03017872839143
168,272.0265650942475
169,323.03154604941886
170,320.03125305205583
171,268.02617443109676
172,315.0307647231175
173,274.02676042582283
174,307.0299833968161
175,277.02705342318586
176,317.03096005469286
177,315.0307647231175
178,270.0263697626721
179,238.02324445746655
180,268.02617443109676
181,293.02861607578865
182,259.0252954390077
183,260.0253931047954
184,277.02705342318586
185,259.0252954390077
186,279.0272487547612
187,295.028811407364
188,245.02392811798026
189,295.028811407364
190,314.0306670573298
191,301.02939740209007
192,238.02324445746655
193,294.0287137415763
194,306.0298857310284
195,309.03017872839143
196,287.0280300810626
197,268.02617443109676
198,270.0263697626721
199,268.02617443109676
200,295.028811407364
201,327.0319367125696
202,313.03056939154214
203,255.024904775857
204,267.0260767653091
205,271.0264674284598
206,301.02939740209007
207,250.02441644691865
208,301.02939740209007
209,262.02558843637075
210,268.02617443109676
211,212.020705146987
212,314.0306670573298
213,276.0269557573982
214,234.02285379431584
215,323.03154604941886
216,309.03017872839143
217,356.03476902041217
218,333.03252270729564
219,284.02773708369955
220,309.03017872839143
221,285.0278347494872
222,309.03017872839143
223,313.03056939154214
224,346.0337923625354
225,335.032718038871
226,369.0360386756519
227,432.0421916202754
228,322.0314483836312
229,335.032718038871
230,360.0351596835628
231,288.02812774685026
232,313.03056939154214
233,279.0272487547612
234,262.02558843637075
235,231.02256079695283
236,299.0292020705147
237,267.0260767653091
238,237.02314679167887
239,333.03252270729564
