,amp1,amp2,amp3,amp4
0,0.00039565831963049016,0.00041428662696889025,0.0024536764623336567,0.0007947181530926853
1,0.00040110535538874677,0.0006181045239745568,0.003839777392590202,0.0016564515345920856
2,0.0010503238925267141,0.00100319447549159,0.002961803793011114,0.0018264727711713776
3,0.001393847479777883,0.0008746293189501646,0.001257856204305251,0.0007745372867568219
4,0.0010013894530120331,0.0011499255573801717,0.003025986913555788,0.0005020998355076978
5,0.0008025875897226652,0.00044953370439290295,0.002634657184847342,0.00029096492493440164
6,0.0007679717097111701,0.0012498816886255095,0.0032757123724454374,0.0003368244035519576
7,0.0003079948086345042,0.0008002383528536392,0.0015939125581526598,0.0006378885991226548
8,0.0005613179263541674,0.0005962940794083311,0.0017685860901048055,0.0012326274858754814
9,0.0010573067838337096,0.0008616976310455112,0.002102526647420126,0.0008597959361142063
10,0.0007416343021930972,0.00036919929380901343,0.0030063305232749635,0.00035970204994686494
11,0.0001770743334961902,0.0008231181244929809,0.0043295625395119875,0.0009517774817742537
12,0.001046583947452115,0.001048965390272727,0.0026734414043568704,0.00039299974384710473
13,0.0009166538285879296,0.0009932801149735992,0.0037678381017915994,0.001252721843545978
14,0.0008560897749063736,0.0002040739070130823,0.0017678243911966594,0.0001708265795947342
15,0.0009541291130113393,0.00039820306149457763,0.002447359676899761,0.0005549669146378913
16,0.0020918871916299738,0.0013794501719023916,0.0030255207035969137,0.0007563780836514814
17,0.0011554345569038831,0.000901516909136744,0.0034281710885792588,0.0007533224473240101
18,0.0008427749590571755,0.0002819633867818887,0.0019155182485443073,0.0009478950940585802
19,0.0010064543131655375,0.001305456839366841,0.0035306139233627293,0.0015344327693241414
20,0.0006229619065834258,0.00045709596256654733,0.0035155249508319916,0.0006152541961286583
21,0.0025394504826954556,0.00022360033865503068,0.0014556628711267223,2.3007112614662145e-05
22,0.0009171593018616486,0.0009046880477008543,0.0014066233783890962,0.0005751273905729212
23,0.0006948069846065164,0.0004863050807241627,0.0025938799925753087,0.0022596784226558615
24,0.0010252680332314896,0.000556598087136814,0.003118867506776457,0.000451816132826993
25,0.0010924649584209973,0.000602151235670636,0.000948984046252903,0.0010829028646877667
26,0.0010213638756554776,0.0007421276205454692,0.002363714885210132,0.00016926377895283594
27,0.0008001487707986594,0.0007865319176089122,0.0014783819966982855,0.001165880322086885
28,0.0012182513810120076,9.931664626293148e-05,0.003955928998955481,0.001722344737355943
29,0.001832559296869835,0.0005460642572655407,0.0011482430652649896,0.0011565493146324796
30,0.0008515573208820068,0.001695506160110053,0.002306985563448729,0.0009258555040558641
31,0.0006464899238923185,0.0002096031017134791,0.0018347081209030944,0.0002560737134249264
32,0.0007100212460085861,0.0007228729963357433,0.0007868959270605661,0.0015642230045069634
33,0.00039286256137648757,0.0010147180169406667,0.0008966094925465687,0.0004427542310167113
34,0.0004982504787350505,0.0008060926568829388,0.0034979732931707357,0.00021475081536630566
35,0.0008847318013323071,0.0014727777202992792,0.001832016220260245,0.0010592055401900378
