,freq
0,303.02959273366537
1,293.02861607578865
2,292.02851841000097
3,293.02861607578865
4,298.02910440472704
5,288.02812774685026
6,293.02861607578865
7,295.028811407364
8,304.02969039945305
9,302.0294950678777
10,301.02939740209007
11,295.028811407364
12,301.02939740209007
13,304.02969039945305
14,300.0292997363024
15,295.028811407364
16,293.02861607578865
17,291.0284207442133
18,298.02910440472704
19,298.02910440472704
20,301.02939740209007
21,301.02939740209007
22,301.02939740209007
23,289.02822541263794
24,301.02939740209007
25,301.02939740209007
26,301.02939740209007
27,290.0283230784256
28,301.02939740209007
29,294.0287137415763
30,288.02812774685026
31,301.02939740209007
32,301.02939740209007
33,301.02939740209007
34,301.02939740209007
35,301.02939740209007
36,294.0287137415763
37,301.02939740209007
38,301.02939740209007
39,293.02861607578865
40,303.02959273366537
41,299.0292020705147
42,297.02900673893936
43,301.02939740209007
44,301.02939740209007
45,301.02939740209007
46,301.02939740209007
47,301.02939740209007
48,304.02969039945305
49,301.02939740209007
50,294.0287137415763
51,301.02939740209007
52,302.0294950678777
53,301.02939740209007
54,301.02939740209007
55,301.02939740209007
56,301.02939740209007
57,301.02939740209007
58,301.02939740209007
59,292.02851841000097
60,290.0283230784256
61,301.02939740209007
62,301.02939740209007
63,301.02939740209007
64,301.02939740209007
65,301.02939740209007
